r1bq1rk1/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQR1K1 b - - 4 8	f8e8	9	22
r1b1kb1r/1p2pppp/pqnp4/8/4P1n1/1NN5/PPPB1PPP/R2QKB1R w KQkq - 4 9	d1e2	115	22
rnbqkb1r/pp3ppp/2p5/1B1p4/3Pn3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7	b5d3	-6	22
r1bq1rk1/ppp2pbp/n2p1np1/4p3/2PPP3/2NQ1N2/PP2BPPP/R1B1K2R w KQ - 2 8	d4e5	-19	22
rn1q1rk1/pbp1bppp/1p1ppn2/8/2PP4/PP3NP1/4PPBP/RNBQ1RK1 b - - 0 8	c7c5	-2	22
rnbqkb1r/pp3ppp/2p5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 7	f8d6	0	22
r1bq1rk1/ppp2pbp/n2p1np1/4P3/2P1P3/2NQ1N2/PP2BPPP/R1B1K2R b KQ - 0 8	d6e5	9	22
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2PP4/PP3NP1/4PPBP/RNBQ1RK1 w - - 0 9	b1c3	10	22
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR b KQkq - 2 6	c8g4	-21	22
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7	d1c2	40	22
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/P1P1P3/1P1N1PPP/R2QKBNR b KQkq - 0 6	f8d6	16	22
r1bq1rk1/ppp2pbp/2np1np1/P2Pp3/4P3/2N2N2/1PP1BPPP/R1BQK2R b KQ - 0 8	c6e7	-15	22
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 b - - 0 8	e6e5	-8	22
r1bqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR w KQkq - 0 8	g1e2	-11	22
1rbqkb1r/1p3ppp/p1np1n2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R b KQk - 3 9	b7b5	8	22
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR b KQkq - 1 6	e7e5	13	22
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N2P2/PPP3PP/R1BQKB1R b KQkq - 1 8	c8e6	32	22
