r1bqk2r/1p2bppp/p1nppn2/6B1/3NP3/2N5/PPPQ1PPP/2KR1B1R w kq - 2 9	g5f6	f2f4
r1bqk2r/pp3pbp/2nppnp1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQK2R w KQkq - 1 8	c1g5	a2a4
r2qk2r/pp1bppbp/2np1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R b KQkq - 7 9	a8c8	e8h8
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 w - - 8 10	a2a4	d1d2
1rbqkb1r/1p2nppp/p2p4/3Pp3/8/N3B3/PPP2PPP/R2QKB1R w KQk - 1 11	f1e2	c2c4
r1bqkb1r/5ppp/p1np1n2/1p1Np3/4P3/N3B3/PPP2PPP/R2QKB1R b KQkq - 1 9	a8b8	f6d5
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 2 8	b2b3	d1d3
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 w kq - 1 10	d4c5	d1e2
r1bqk2r/1pp2ppp/pbnp1n2/4p3/PPB1P3/2PP1N2/5PPP/RNBQ1RK1 b kq - 1 8	c6e7	e8h8
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R b KQkq - 0 8	e8h8	f7f6
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/2NBPN1P/PP3PP1/R1BQK2R w KQ - 3 8	e3e4	e1h1
r1bq1rk1/ppp1bppp/2np1n2/4p3/2B1P3/P1NP1N2/1PP2PPP/R1BQ1RK1 b - - 1 7	c8e6	c8g4
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N1BN1P/PP2BPP1/R2QK2R w KQ - 3 10	d1c2	f3d2
r1bqk2r/pp3ppp/1bn2n2/1B1p4/8/1N3N2/PPP2PPP/R1BQK2R w KQkq - 6 9	c2c3	e1h1
r2qkbnr/pp1n1ppp/4p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 3 7	g8e7	a7a6
r1bqk2r/1pp2ppp/2np1n2/p1b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b kq - 1 7	h7h6	e8h8
rnbqk2r/pp3ppp/1b3n2/3p4/8/1N1B4/PPP2PPP/R1BQK1NR w KQkq - 4 8	h2h3	d1e2
r1bqk2r/pp2bppp/2n2n2/2p5/2Pp1B2/1P1P1NP1/P4PBP/RN1Q1RK1 b kq - 1 10	f6h5	e8h8
r1bq1rk1/ppp1bppp/2n2n2/3p4/8/3P1NP1/PP2PPBP/RNBQ1RK1 w - - 0 8	a2a3	b2b3
1rbq1rk1/pp2npbp/2npp1p1/2p5/4PP2/2NPBNP1/PPP3BP/R2Q1RK1 w - - 6 10	a2a3	a2a4
r1bq1rk1/p2nbppp/2n1p3/1pppP3/3P1P2/P1P2N2/1P2N1PP/R1BQKB1R w KQ - 0 10	e2g3	c1e3
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQR1K1 b - - 5 8	e7e5	a8b8
rnbq1rk1/pp2bppp/4pn2/2p5/2Pp4/4PNP1/PPQP1PBP/RNB2RK1 w - - 1 8	d2d3	f3e5
r1bqkb1r/5ppp/p1n1pn2/1pp5/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 w kq - 2 9	d4d5	d1e2
r2q1rk1/ppp1bppp/2npbn2/4p3/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 w - - 3 8	f1e1	c3d5
r1bq1rk1/pp2npbp/2npp1p1/2p5/4PP2/2NPBNP1/PPP3BP/R2Q1RK1 b - - 5 9	b7b6	a8b8
r1bqk2r/pp2npbp/2npp1p1/2p5/4PP2/2NPBNP1/PPP3BP/R2QK2R b KQkq - 3 8	a8b8	e8h8
r1bqk2r/pp1pbppp/2n1pn2/8/3NP3/P1N5/1PP2PPP/R1BQKB1R w KQkq - 3 7	f1e2	c1e3
r1bqk2r/1p2bppp/p1nppn2/8/2P1P3/N1N5/PP2BPPP/R1BQK2R b KQkq - 3 9	b7b6	e8h8
r1bqk2r/p1p2ppp/2p5/3pP3/1b4n1/2NB4/PPP2PPP/R1BQK2R w KQkq - 1 9	c1f4	e1h1
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1B2P/PPP1BPP1/R2QK2R w KQ - 5 9	d1d2	e1h1
rnbq1rk1/pp2bppp/4p3/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1 w - - 1 10	d1e2	a2a3
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b kq - 5 9	b8d7	e8h8
rn1qk2r/1p2bpp1/p2pbn2/4p2p/4P3/1NN1BP2/PPPQB1PP/R3K2R b KQkq - 1 10	d8c7	b8d7
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1B2P/PPP1BPP1/R2Q1RK1 b - - 6 9	d6d5	c8d7
r2qk2r/pp1bppbp/2np1np1/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w kq - 1 9	d4c6	d4c2
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1B3/PPPQBPPP/2KR3R b - - 7 9	d6d5	f6g4
rnbq1rk1/ppp1ppbp/6p1/8/3PP3/2P2N2/P4PPP/R1BQKB1R w KQ - 3 8	c1e3	f1e2
r1bq1rk1/ppp2ppp/2n1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 b - - 3 7	h7h6	d5c4
r1bq1rk1/pppn1pbp/3p2p1/3Pp3/2P1P1n1/2N1BN2/PP2BPPP/R2QK2R w KQ - 3 9	e3c1	e3g5
rnbq1rk1/pp4pp/2pbp3/3p1p2/2PPn3/2N2NP1/PPQ1PPBP/R1B2RK1 w - - 4 9	c1f4	a1b1
r1b1k2r/pp2nppp/2n1p3/q1ppP3/3P3P/P1P2N2/2PB1PP1/R2QKB1R b KQkq - 2 9	h7h6	c8d7
r1b1k2r/ppq1nppp/2n1p3/2ppP3/P2P4/2P2N2/2PB1PPP/R2QKB1R w KQkq - 5 10	f1e2	f1d3
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P1B2/2PB1N2/PP3PPP/RN1QK2R b KQkq - 1 7	d8b6	c8f5
1rbqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP1NPBP/R2QK2R w KQk - 2 9	h2h3	e1h1
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R w KQkq - 1 9	d1f3	f2f4
r1bqk2r/1p2bppp/p1np4/4p3/4P3/2N1N3/PPP2PPP/R2QKB1R w KQkq - 1 11	d1d2	c3d5
r1b1kb1r/pp3ppp/2n1p2B/3pP3/3P4/5N2/Pq2BPPP/RN1QK2R w KQkq - 0 9	b1d2	e1h1
1rbqkb1r/5ppp/p1np1n2/1p1Np3/4P3/N3B3/PPP2PPP/R2QKB1R w KQk - 2 10	d5f6	f1d3
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/1PN1PN2/P1Q2PPP/R1B1KB1R b KQkq - 0 7	b7b6	e8h8
r1b1k2r/pp1nbppp/2n1p3/q1ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R w KQkq - 3 9	c1e3	d4c5
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - - 0 9	c1b2	d1d3
r1bqk2r/pp2bppp/2n1pn2/8/2Pp4/1P3NP1/P2P1PBP/RNBQ1RK1 w kq - 2 9	d2d3	f1e1
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/1PN2NP1/P3PPBP/R1BQK2R b KQ - 2 7	b7b6	d5c4
r1bq1rk1/pp2ppbp/2np1np1/8/4P3/1NN1B3/PPP1BPPP/R2QK2R w KQ - 4 9	d1d2	h2h4
rnbqk2r/1p2ppbp/p2p1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R b KQkq - 1 8	b8d7	b8c6
rnbq1rk1/pp3ppp/5n2/2bp4/8/5N2/PPPNBPPP/R1BQ1RK1 w - - 2 9	c2c4	a2a3
r1bqk2r/pp2bppp/3p4/1N1Ppn2/2P5/3B4/PP3PPP/R1BQ1RK1 b kq - 4 11	f5h4	e8h8
rnbq1rk1/pp2bppp/3pp3/3nP3/2BP4/5N2/PP2QPPP/RNB2RK1 b - - 4 9	b8c6	b8d7
r1b2rk1/p4ppp/1pnqpn2/2pp4/3P4/2P1PN1P/PP1NBPP1/R2QK2R w KQ - 0 10	d1a4	e1h1
rnbq1rk1/ppp1bppp/5n2/3p4/8/P4NP1/1P1PPPBP/RNBQ1RK1 b - - 1 7	a7a5	f8e8
r1bqk1nr/pp3ppp/2nb4/3p4/8/1N1B1N2/PPP2PPP/R1BQK2R b KQkq - 5 8	g8f6	g8e7
rn1qk2r/pp3ppp/2pbpnb1/8/3P1N2/2P3N1/PP3PPP/R1BQKB1R w KQkq - 2 9	h2h4	f4g6
r1bqk2r/pp2bppp/2n1pn2/8/2Pp4/1P3NP1/P2P1PBP/RNBQ1RK1 w kq - 0 9	d2d3	f1e1
r2q1rk1/1pp2pp1/2npbn1p/p1b1p3/P1B1P3/2PP1N1P/1P1N1PP1/R1BQR1K1 b - - 1 10	e6c4	c5a7
rnb2rk1/p1q2ppp/1p2pn2/2p5/2BP4/P1P1PN2/2Q2PPP/R1B1K2R w KQ - 2 11	c4e2	c4d3
r1bqk2r/1pp2ppp/1bnp1n2/p3p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 w kq - 2 8	c4b3	b1a3
1rbqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP1NPBP/R2QK2R w KQk - 0 9	h2h3	e1h1
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/2N1B2P/PPP1BPP1/R2Q1RK1 w - - 7 10	a2a4	f1e1
r1bqk2r/1p2bppp/p1np1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2QK2R w KQkq - 4 9	c3d5	f2f3
rnbq1rk1/pp4pp/2pbpn2/3p1pB1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 b - - 3 8	h7h6	b8d7
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 4 7	c6c5	h7h6
r2qk2r/pp1bnppp/2n1p3/2ppP3/P2P4/2P2N2/2P2PPP/R1BQKB1R w KQkq - 3 9	f1e2	d1d2
r2qk2r/pp1bnppp/2n1p3/2ppP3/P2P4/2P2N2/2P1BPPP/R1BQK2R b KQkq - 4 9	e8h8	a8c8
r2qkb1r/pp1n1pp1/2p1pn1p/8/3P3P/2PN2N1/PP3PP1/R1BQK2R w KQkq - 0 12	g3h5	d1f3
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/4P3/PB1P1N2/1PP2PPP/RNBQR1K1 w - - 1 10	b1c3	h2h3
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/2P1PNB1/PP1N1PPP/R2QKB1R b KQkq - 3 7	d6e7	h7h6
r1bqkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/2N1PN1P/PP3PP1/R1BQKB1R w KQkq - 0 7	f1e2	d1c2
r2qkb1r/pp3ppp/1np1pn2/5b2/P1NP4/2N1P3/1P3PPP/R1BQKB1R w KQkq - 1 9	d1b3	f2f3
